brand,caliber,part_number,stock_quantity,pricing_status,pricing_confidence,recommended_price_eur,price_lower_bound_eur,price_upper_bound_eur,sell_time_display,median_days_to_sell,sell_time_lower_days,sell_time_upper_days,turnover_confidence,turnover_method,evidence_basis,active_evidence_count,historical_evidence_count,total_unique_evidence_count,historical_value_h,current_value_c,demand_index_d,scarcity_score_s,price_trend_p,demand_adjustment_eur,germany_price_eur,us_price_eur,virtual_price_eur,no_recommendation_reason,recommendation_reason,turnover_reason,active_pricing_caveat,canonical_inventory_id,inventory_uid
Rolex,24,703-0,5,PRICED,HIGH,109.68,93.23,126.13,0-30 days,5.5,0,30,HIGH,DIRECT_ITEM_HAZARD_FIT,HISTORICAL,59,6,65,104.57,158.0,0.8667,0.8,0.0,1.97,114.68,152.25,109.68,,"Based on historical sold evidence (n=110 sale(s)). Price trend flat (+0.0%), scarcity scarce (S=0.80).",Dated item-level sold observations support the exponential hazard estimate.,,rolex_24_703_0,iuid_1404162928af4d8a
Rolex,24,703-8,8,PRICED,MEDIUM,186.36,158.41,214.31,0-30 days,24.0,0,30,HIGH,DIRECT_ITEM_HAZARD_FIT,HISTORICAL,27,4,31,183.0,221.2,0.5333,0.6667,0.0,0.31,191.36,238.93,186.36,,"Based on historical sold evidence (n=20 sale(s)). Price trend flat (+0.0%), scarcity scarce (S=0.67).",Dated item-level sold observations support the exponential hazard estimate.,,rolex_24_703_8,iuid_9e6d2b809e7445a0
Rolex,24,704,6,PRICED,HIGH,118.4,100.64,136.16,0-30 days,1.9,0,30,HIGH,DIRECT_ITEM_HAZARD_FIT,HISTORICAL,82,38,120,123.81,102.69,1.0,0.8667,-0.1,2.89,123.4,162.1,118.4,,"Based on historical sold evidence (n=240 sale(s)). Price trend down (-10.0%), scarcity scarce (S=0.87).",Dated item-level sold observations support the exponential hazard estimate.,,rolex_24_704,iuid_2e42ce0ccceb4520
Rolex,24,7230,2,PRICED,LOW,63.78,54.21,73.35,91-183 days,163.0,91,183,LOW,DIRECT_ITEM_HAZARD_FIT,HISTORICAL,16,1,17,65.97,85.29,0.4333,0.2,0.0,-0.21,68.78,100.36,63.78,,"Based on historical sold evidence (n=5 sale(s)). Price trend flat (+0.0%), scarcity oversupplied (S=0.20).",Sparse dated sold observations support only a low-confidence turnover estimate.,,rolex_24_7230,iuid_8e0311fd49db479d
Rolex,24,7330,4,NO_RECOMMENDATION,LOW,,,,Sell-time estimate unavailable - no price recommendation,,,,LOW,NO_PRICE_RECOMMENDATION,,0,0,0,,,,,,,,,,ONLY_LOW_CONFIDENCE_CANDIDATES,,No client-facing sell-time recommendation is shown because the item does not have a defensible price recommendation.,,rolex_24_7330,iuid_e17f3e1951164b77
Rolex,24,V51,6,PRICED,LOW,59.56,35.74,83.38,0-30 days,6.6,0,30,MEDIUM,COMPARABLE_COHORT_HAZARD_FIT,ACTIVE_ONLY,2,0,2,,60.67,0.2,0.4667,0.0,-0.91,64.56,95.59,59.56,,"Based on active asking prices only (n=2 listing(s)), discounted 21% ask→sold. Price trend flat (+0.0%), scarcity balanced (S=0.47).",Sell-time is estimated from comparable sold observations in the same brand and caliber cohort.,"Inventory condition/OEM status is not confirmed in the source file; active prices may contain used, aftermarket, bundle, damaged, or premium NOS segments.",rolex_24_v51,iuid_9994da51e6444e8d
Rolex,24,V53,3,PRICED,MEDIUM,276.15,234.73,317.57,31-90 days,55.6,31,90,LOW,DIRECT_ITEM_HAZARD_FIT,HISTORICAL,12,1,13,278.0,213.58,0.4333,0.4667,0.0,-0.92,281.15,340.42,276.15,,"Based on historical sold evidence (n=5 sale(s)). Price trend flat (+0.0%), scarcity balanced (S=0.47).",Sparse dated sold observations support only a low-confidence turnover estimate.,,rolex_24_v53,iuid_e577ed29fcc64183
Rolex,24,p303,5,PRICED,LOW,190.57,114.34,266.8,0-30 days,6.6,0,30,MEDIUM,COMPARABLE_COHORT_HAZARD_FIT,ACTIVE_ONLY,2,0,2,,194.11,0.2,0.4667,0.0,-2.9,195.57,243.69,190.57,,"Based on active asking prices only (n=2 listing(s)), discounted 21% ask→sold. Price trend flat (+0.0%), scarcity balanced (S=0.47).",Sell-time is estimated from comparable sold observations in the same brand and caliber cohort.,"Inventory condition/OEM status is not confirmed in the source file; active prices may contain used, aftermarket, bundle, damaged, or premium NOS segments.",rolex_24_p303,iuid_0511a1a561804137
Rolex,24,p402-3,2,PRICED,LOW,759.94,455.96,1063.92,0-30 days,6.6,0,30,MEDIUM,COMPARABLE_COHORT_HAZARD_FIT,ACTIVE_ONLY,12,0,12,,812.12,0.2,0.0,0.0,-11.57,764.94,887.32,759.94,,"Based on active asking prices only (n=32 listing(s)), discounted 21% ask→sold. Price trend flat (+0.0%), scarcity oversupplied (S=0.00).",Sell-time is estimated from comparable sold observations in the same brand and caliber cohort.,"Inventory condition/OEM status is not confirmed in the source file; active prices may contain used, aftermarket, bundle, damaged, or premium NOS segments.",rolex_24_p402_3,iuid_0756bfe39cd34f3b
Rolex,24,p502-3,2,PRICED,LOW,555.35,333.21,777.49,0-30 days,6.6,0,30,MEDIUM,COMPARABLE_COHORT_HAZARD_FIT,ACTIVE_ONLY,4,0,4,,589.35,0.2,0.0667,0.0,-8.46,560.35,656.04,555.35,,"Based on active asking prices only (n=9 listing(s)), discounted 21% ask→sold. Price trend flat (+0.0%), scarcity oversupplied (S=0.07).",Sell-time is estimated from comparable sold observations in the same brand and caliber cohort.,"Inventory condition/OEM status is not confirmed in the source file; active prices may contain used, aftermarket, bundle, damaged, or premium NOS segments.",rolex_24_p502_3,iuid_b58e8e88d153480e
Rolex,25,10,38,NO_RECOMMENDATION,LOW,,,,Sell-time estimate unavailable - no price recommendation,,,,LOW,NO_PRICE_RECOMMENDATION,,0,0,0,,,,,,,,,,ONLY_LOW_CONFIDENCE_CANDIDATES,,No client-facing sell-time recommendation is shown because the item does not have a defensible price recommendation.,,rolex_25_10,iuid_c0e739b71ffd4d48
Rolex,25,104,1,PRICED,MEDIUM,15.69,13.34,18.04,0-30 days,14.6,0,30,HIGH,DIRECT_ITEM_HAZARD_FIT,HISTORICAL,62,4,66,17.81,20.46,0.6154,0.2308,-0.1,0.09,20.69,46.0,15.69,,"Based on historical sold evidence (n=20 sale(s)). Price trend down (-10.0%), scarcity oversupplied (S=0.23).",Dated item-level sold observations support the exponential hazard estimate.,,rolex_25_104,iuid_00ec9ef847ee4630
Rolex,25,112,1,PRICED,LOW,54.15,32.49,75.81,0-30 days,9.0,0,30,MEDIUM,COMPARABLE_COHORT_HAZARD_FIT,ACTIVE_ONLY,18,0,18,,57.2,0.2692,0.0769,0.0,-0.63,59.15,89.47,54.15,,"Based on active asking prices only (n=22 listing(s)), discounted 21% ask→sold. Price trend flat (+0.0%), scarcity oversupplied (S=0.08).",Sell-time is estimated from comparable sold observations in the same brand and caliber cohort.,"Inventory condition/OEM status is not confirmed in the source file; active prices may contain used, aftermarket, bundle, damaged, or premium NOS segments.",rolex_25_112,iuid_adb733024a4f4426
Rolex,25,116,4,PRICED,LOW,91.82,78.05,105.59,0-30 days,4.2,0,30,HIGH,DIRECT_ITEM_HAZARD_FIT,HISTORICAL,48,13,61,78.28,20.46,0.9615,0.9231,0.1,2.07,96.82,132.05,91.82,,"Based on historical sold evidence (n=80 sale(s)). Price trend up (+10.0%), scarcity scarce (S=0.92).",Dated item-level sold observations support the exponential hazard estimate.,,rolex_25_116,iuid_f955508c7930472c
Rolex,25,12,8,NO_RECOMMENDATION,LOW,,,,Sell-time estimate unavailable - no price recommendation,,,,LOW,NO_PRICE_RECOMMENDATION,,0,0,0,,,,,,,,,,ONLY_LOW_CONFIDENCE_CANDIDATES,,No client-facing sell-time recommendation is shown because the item does not have a defensible price recommendation.,,rolex_25_12,iuid_47620d2bf1df4316
Rolex,25,127,3,PRICED,LOW,141.6,120.36,162.84,0-30 days,7.5,0,30,HIGH,DIRECT_ITEM_HAZARD_FIT,HISTORICAL,52,7,59,155.26,196.86,0.8462,0.4615,-0.1,2.41,146.6,188.33,141.6,,"Based on historical sold evidence (n=40 sale(s)). Price trend down (-10.0%), scarcity balanced (S=0.46).",Dated item-level sold observations support the exponential hazard estimate.,,rolex_25_127,iuid_6b87ee69ae214137
Rolex,25,129,5,PRICED,LOW,20.96,17.82,24.1,0-30 days,12.1,0,30,HIGH,DIRECT_ITEM_HAZARD_FIT,HISTORICAL,47,5,52,19.09,19.75,0.6923,0.3846,0.1,0.2,25.96,51.96,20.96,,"Based on historical sold evidence (n=25 sale(s)). Price trend up (+10.0%), scarcity balanced (S=0.38).",Dated item-level sold observations support the exponential hazard estimate.,,rolex_25_129,iuid_2e001d5d96b2460d
Rolex,25,139,1,PRICED,LOW,92.73,78.82,106.64,184-365 days,347.4,184,365,LOW,DIRECT_ITEM_HAZARD_FIT,HISTORICAL,9,1,10,91.5,95.68,0.5385,0.6154,0.0,0.18,97.73,133.08,92.73,,"Based on historical sold evidence (n=5 sale(s)). Price trend flat (+0.0%), scarcity balanced (S=0.62).",Sparse dated sold observations support only a low-confidence turnover estimate.,,rolex_25_139,iuid_adccb6b0cb7941a2
Rolex,25,14,3,NO_RECOMMENDATION,LOW,,,,Sell-time estimate unavailable - no price recommendation,,,,LOW,NO_PRICE_RECOMMENDATION,,0,0,0,,,,,,,,,,ONLY_LOW_CONFIDENCE_CANDIDATES,,No client-facing sell-time recommendation is shown because the item does not have a defensible price recommendation.,,rolex_25_14,iuid_da3c67ad88ba4755
Rolex,25,19,7,NO_RECOMMENDATION,LOW,,,,Sell-time estimate unavailable - no price recommendation,,,,LOW,NO_PRICE_RECOMMENDATION,,0,0,0,,,,,,,,,,ONLY_LOW_CONFIDENCE_CANDIDATES,,No client-facing sell-time recommendation is shown because the item does not have a defensible price recommendation.,,rolex_25_19,iuid_30676b05c9814d10
Rolex,25,192,1,PRICED,LOW,29.01,17.41,40.61,0-30 days,9.0,0,30,MEDIUM,COMPARABLE_COHORT_HAZARD_FIT,ACTIVE_ONLY,26,0,26,,30.89,0.2692,0.0,0.0,-0.34,34.01,61.05,29.01,,"Based on active asking prices only (n=26 listing(s)), discounted 21% ask→sold. Price trend flat (+0.0%), scarcity oversupplied (S=0.00).",Sell-time is estimated from comparable sold observations in the same brand and caliber cohort.,"Inventory condition/OEM status is not confirmed in the source file; active prices may contain used, aftermarket, bundle, damaged, or premium NOS segments.",rolex_25_192,iuid_6a23792453c34946
Rolex,25,192-c1,3,PRICED,LOW,235.25,141.15,329.35,0-30 days,9.0,0,30,MEDIUM,COMPARABLE_COHORT_HAZARD_FIT,ACTIVE_ONLY,2,0,2,,246.53,0.2692,0.1538,0.0,-2.75,240.25,294.2,235.25,,"Based on active asking prices only (n=4 listing(s)), discounted 21% ask→sold. Price trend flat (+0.0%), scarcity oversupplied (S=0.15).",Sell-time is estimated from comparable sold observations in the same brand and caliber cohort.,"Inventory condition/OEM status is not confirmed in the source file; active prices may contain used, aftermarket, bundle, damaged, or premium NOS segments.",rolex_25_192_c1,iuid_c68d7b062ae344e0
Rolex,25,194,1,NO_RECOMMENDATION,LOW,,,,Sell-time estimate unavailable - no price recommendation,,,,LOW,NO_PRICE_RECOMMENDATION,,0,0,0,,,,,,,,,,ONLY_LOW_CONFIDENCE_CANDIDATES,,No client-facing sell-time recommendation is shown because the item does not have a defensible price recommendation.,,rolex_25_194,iuid_1e4448700a614964
Rolex,25,21,5,NO_RECOMMENDATION,LOW,,,,Sell-time estimate unavailable - no price recommendation,,,,LOW,NO_PRICE_RECOMMENDATION,,0,0,0,,,,,,,,,,ONLY_LOW_CONFIDENCE_CANDIDATES,,No client-facing sell-time recommendation is shown because the item does not have a defensible price recommendation.,,rolex_25_21,iuid_8b956f02b6544ae3
Rolex,25,22,3,NO_RECOMMENDATION,LOW,,,,Sell-time estimate unavailable - no price recommendation,,,,LOW,NO_PRICE_RECOMMENDATION,,0,0,0,,,,,,,,,,ONLY_LOW_CONFIDENCE_CANDIDATES,,No client-facing sell-time recommendation is shown because the item does not have a defensible price recommendation.,,rolex_25_22,iuid_eaef99eaf82948c1
Rolex,25,29,4,NO_RECOMMENDATION,LOW,,,,Sell-time estimate unavailable - no price recommendation,,,,LOW,NO_PRICE_RECOMMENDATION,,0,0,0,,,,,,,,,,ONLY_LOW_CONFIDENCE_CANDIDATES,,No client-facing sell-time recommendation is shown because the item does not have a defensible price recommendation.,,rolex_25_29,iuid_f21070959d624c63
Rolex,25,295,9,PRICED,LOW,88.27,75.03,101.51,0-30 days,3.7,0,30,HIGH,DIRECT_ITEM_HAZARD_FIT,HISTORICAL,53,17,70,93.35,261.5,0.9615,0.7692,-0.1,1.99,93.27,128.05,88.27,,"Based on historical sold evidence (n=85 sale(s)). Price trend down (-10.0%), scarcity scarce (S=0.77).",Dated item-level sold observations support the exponential hazard estimate.,,rolex_25_295,iuid_24562d45d666491a
Rolex,25,3,4,NO_RECOMMENDATION,LOW,,,,Sell-time estimate unavailable - no price recommendation,,,,LOW,NO_PRICE_RECOMMENDATION,,0,0,0,,,,,,,,,,ONLY_LOW_CONFIDENCE_CANDIDATES,,No client-facing sell-time recommendation is shown because the item does not have a defensible price recommendation.,,rolex_25_3,iuid_cfd76095102f4bfa
Rolex,25,318,4,PRICED,LOW,143.68,122.13,165.23,0-30 days,9.8,0,30,HIGH,DIRECT_ITEM_HAZARD_FIT,HISTORICAL,25,6,31,124.57,54.07,0.7692,0.8462,0.1,1.91,148.68,190.68,143.68,,"Based on historical sold evidence (n=30 sale(s)). Price trend up (+10.0%), scarcity scarce (S=0.85).",Dated item-level sold observations support the exponential hazard estimate.,,rolex_25_318,iuid_1c0af9a86f684daa
Rolex,25,318-c1,2,NO_RECOMMENDATION,LOW,,,,Sell-time estimate unavailable - no price recommendation,,,,LOW,NO_PRICE_RECOMMENDATION,,0,0,0,,,,,,,,,,ONLY_LOW_CONFIDENCE_CANDIDATES,,No client-facing sell-time recommendation is shown because the item does not have a defensible price recommendation.,,rolex_25_318_c1,iuid_218e5a8da0c747c3
Rolex,25,39,7,NO_RECOMMENDATION,LOW,,,,Sell-time estimate unavailable - no price recommendation,,,,LOW,NO_PRICE_RECOMMENDATION,,0,0,0,,,,,,,,,,ONLY_LOW_CONFIDENCE_CANDIDATES,,No client-facing sell-time recommendation is shown because the item does not have a defensible price recommendation.,,rolex_25_39,iuid_cb52034dd3ad4e5d
Rolex,25,44,3,NO_RECOMMENDATION,LOW,,,,Sell-time estimate unavailable - no price recommendation,,,,LOW,NO_PRICE_RECOMMENDATION,,0,0,0,,,,,,,,,,ONLY_LOW_CONFIDENCE_CANDIDATES,,No client-facing sell-time recommendation is shown because the item does not have a defensible price recommendation.,,rolex_25_44,iuid_bbdd13ea4e914d1f
Rolex,25,9,9,NO_RECOMMENDATION,LOW,,,,Sell-time estimate unavailable - no price recommendation,,,,LOW,NO_PRICE_RECOMMENDATION,,0,0,0,,,,,,,,,,ONLY_LOW_CONFIDENCE_CANDIDATES,,No client-facing sell-time recommendation is shown because the item does not have a defensible price recommendation.,,rolex_25_9,iuid_4ed719a04d9b4489
Rolex,25,9297,1,NO_RECOMMENDATION,LOW,,,,Sell-time estimate unavailable - no price recommendation,,,,LOW,NO_PRICE_RECOMMENDATION,,0,0,0,,,,,,,,,,ONLY_LOW_CONFIDENCE_CANDIDATES,,No client-facing sell-time recommendation is shown because the item does not have a defensible price recommendation.,,rolex_25_9297,iuid_612de583d3f544c2
Rolex,29,5300,2,NO_RECOMMENDATION,LOW,,,,Sell-time estimate unavailable - no price recommendation,,,,LOW,NO_PRICE_RECOMMENDATION,,0,0,0,,,,,,,,,,ONLY_LOW_CONFIDENCE_CANDIDATES,,No client-facing sell-time recommendation is shown because the item does not have a defensible price recommendation.,,rolex_29_5300,iuid_8fb42aed3ce14581
Rolex,29,6030,1,NO_RECOMMENDATION,LOW,,,,Sell-time estimate unavailable - no price recommendation,,,,LOW,NO_PRICE_RECOMMENDATION,,0,0,0,,,,,,,,,,ONLY_LOW_CONFIDENCE_CANDIDATES,,No client-facing sell-time recommendation is shown because the item does not have a defensible price recommendation.,,rolex_29_6030,iuid_8607988032cf4c04
Rolex,32,20256,1,NO_RECOMMENDATION,LOW,,,,Sell-time estimate unavailable - no price recommendation,,,,LOW,NO_PRICE_RECOMMENDATION,,0,0,0,,,,,,,,,,ONLY_LOW_CONFIDENCE_CANDIDATES,,No client-facing sell-time recommendation is shown because the item does not have a defensible price recommendation.,,rolex_32_20256,iuid_b7962a780c174e16
Rolex,32,20519,1,NO_RECOMMENDATION,LOW,,,,Sell-time estimate unavailable - no price recommendation,,,,LOW,NO_PRICE_RECOMMENDATION,,0,0,0,,,,,,,,,,ONLY_LOW_CONFIDENCE_CANDIDATES,,No client-facing sell-time recommendation is shown because the item does not have a defensible price recommendation.,,rolex_32_20519,iuid_76a62f942bc74b62
Rolex,32,20540,1,NO_RECOMMENDATION,LOW,,,,Sell-time estimate unavailable - no price recommendation,,,,LOW,NO_PRICE_RECOMMENDATION,,0,0,0,,,,,,,,,,ONLY_LOW_CONFIDENCE_CANDIDATES,,No client-facing sell-time recommendation is shown because the item does not have a defensible price recommendation.,,rolex_32_20540,iuid_4d9f3dbe3a004ca5
Rolex,32,20610,1,NO_RECOMMENDATION,LOW,,,,Sell-time estimate unavailable - no price recommendation,,,,LOW,NO_PRICE_RECOMMENDATION,,0,0,0,,,,,,,,,,ONLY_LOW_CONFIDENCE_CANDIDATES,,No client-facing sell-time recommendation is shown because the item does not have a defensible price recommendation.,,rolex_32_20610,iuid_ccf786957c974884
Rolex,32,20630,2,PRICED,LOW,367.97,220.78,515.16,0-30 days,12.0,0,30,LOW,HIERARCHICAL_PORTFOLIO_PRIOR,ACTIVE_ONLY,5,0,5,,389.58,0.3846,0.0,0.0,-2.14,372.97,444.22,367.97,,"Based on active asking prices only (n=38 listing(s)), discounted 21% ask→sold. Price trend flat (+0.0%), scarcity oversupplied (S=0.00).",Sell-time is estimated from a broad brand/portfolio historical prior because item-level sold velocity is unavailable.,"Inventory condition/OEM status is not confirmed in the source file; active prices may contain used, aftermarket, bundle, damaged, or premium NOS segments.",rolex_32_20630,iuid_c5612d9100d34a7b
Rolex,32,20636,1,PRICED,LOW,190.93,114.56,267.3,0-30 days,12.0,0,30,LOW,HIERARCHICAL_PORTFOLIO_PRIOR,ACTIVE_ONLY,2,0,2,,198.14,0.3846,0.1923,0.0,-1.11,195.93,244.09,190.93,,"Based on active asking prices only (n=6 listing(s)), discounted 21% ask→sold. Price trend flat (+0.0%), scarcity oversupplied (S=0.19).",Sell-time is estimated from a broad brand/portfolio historical prior because item-level sold velocity is unavailable.,"Inventory condition/OEM status is not confirmed in the source file; active prices may contain used, aftermarket, bundle, damaged, or premium NOS segments.",rolex_32_20636,iuid_a5b6c89f09234cf4
Rolex,32,20638,1,PRICED,LOW,17.93,15.24,20.62,91-183 days,93.3,91,183,LOW,DIRECT_ITEM_HAZARD_FIT,HISTORICAL,5,1,6,17.0,14.22,0.8846,0.8462,0.0,0.34,22.93,48.53,17.93,,"Based on historical sold evidence (n=15 sale(s)). Price trend flat (+0.0%), scarcity scarce (S=0.85).",Sparse dated sold observations support only a low-confidence turnover estimate.,,rolex_32_20638,iuid_c3f41b31670f40f4
Rolex,32,20656,1,PRICED,LOW,368.58,221.15,516.01,0-30 days,12.0,0,30,LOW,HIERARCHICAL_PORTFOLIO_PRIOR,ACTIVE_ONLY,3,0,3,,387.1,0.3846,0.0769,0.0,-2.14,373.58,444.92,368.58,,"Based on active asking prices only (n=9 listing(s)), discounted 21% ask→sold. Price trend flat (+0.0%), scarcity oversupplied (S=0.08).",Sell-time is estimated from a broad brand/portfolio historical prior because item-level sold velocity is unavailable.,"Inventory condition/OEM status is not confirmed in the source file; active prices may contain used, aftermarket, bundle, damaged, or premium NOS segments.",rolex_32_20656,iuid_e5617a9e51434d25
Rolex,32,20680T,1,NO_RECOMMENDATION,LOW,,,,Sell-time estimate unavailable - no price recommendation,,,,LOW,NO_PRICE_RECOMMENDATION,,0,0,0,,,,,,,,,,ONLY_LOW_CONFIDENCE_CANDIDATES,,No client-facing sell-time recommendation is shown because the item does not have a defensible price recommendation.,,rolex_32_20680t,iuid_63d55c598f7a4091
Rolex,32,20681,4,PRICED,LOW,19.3,11.58,27.02,0-30 days,12.0,0,30,LOW,HIERARCHICAL_PORTFOLIO_PRIOR,ACTIVE_ONLY,1,0,1,,19.41,0.3846,0.5,0.0,-0.11,24.3,50.08,19.3,,"Based on active asking prices only (n=3 listing(s)), discounted 21% ask→sold. Price trend flat (+0.0%), scarcity balanced (S=0.50).",Sell-time is estimated from a broad brand/portfolio historical prior because item-level sold velocity is unavailable.,"Inventory condition/OEM status is not confirmed in the source file; active prices may contain used, aftermarket, bundle, damaged, or premium NOS segments.",rolex_32_20681,iuid_1b653ef977d24bcf
